name	call	status	time_s
fills-stats-baseline	GET /analytics/fills/stats	200	2.155687
fills-stats-coin-btc	GET /analytics/fills/stats?coin=BTC&hours=24	200	0.853949
fills-stats-bad-hours	GET /analytics/fills/stats?hours=999	422	0.706883
prio-stats-baseline	GET /analytics/priority-fees/stats	200	1.054375
prio-stats-coin-btc-24h	GET /analytics/priority-fees/stats?coin=BTC&hours=24	200	0.812773
prio-chart-daily-baseline	GET /analytics/priority-fees/chart/daily	200	0.825604
prio-chart-daily-window	GET /analytics/priority-fees/chart/daily?start_time=2026-05-04T00:00:00Z&end_time=2026-05-11T00:00:00Z	200	0.870005
prio-gossip-baseline	GET /analytics/priority-fees/gossip/leaderboard	200	0.687009
prio-gossip-limit5	GET /analytics/priority-fees/gossip/leaderboard?limit=5	200	0.854036
prio-gossip-bad-limit	GET /analytics/priority-fees/gossip/leaderboard?limit=500	422	0.621333
liq-stats-baseline	GET /analytics/liquidations/stats	200	0.713170
liq-stats-coin-eth-7d	GET /analytics/liquidations/stats?coin=ETH&days=7	200	0.685512
liq-stats-bad-days	GET /analytics/liquidations/stats?days=999	422	0.593578
top-traders-baseline	GET /overview/top-traders-24h	200	0.863589
top-traders-volume	GET /overview/top-traders-24h?sort=volume&limit=5	200	1.242675
top-traders-pnl-pos	GET /overview/top-traders-24h?sort=pnl_pos&limit=5	200	0.732544
top-traders-pnl-neg	GET /overview/top-traders-24h?sort=pnl_neg&limit=5	200	0.931657
top-traders-trades	GET /overview/top-traders-24h?sort=trades&limit=5	200	0.848997
top-traders-bad-sort	GET /overview/top-traders-24h?sort=bogus	200	0.939032
total-fees-24h	GET /overview/total-fees-24h	200	1.714353
active-traders-24h	GET /overview/active-traders-24h	200	7.503006
trading-volume-24h	GET /overview/trading-volume-24h	200	3.156356
total-fills-24h	GET /overview/total-fills-24h	200	2.518242
daily-volume-10d-noUser	GET /overview/daily-volume-10d	200	1.909932
daily-pnl-10d	GET /overview/daily-pnl-10d	200	3.467870
coin-distribution-missing-user	GET /overview/coin-distribution	422	0.611380
coin-distribution-user	GET /overview/coin-distribution?user=0xf5d81a135f756ca16544e53c20fc20643ec3ad53	200	1.476136
daily-volume-10d-user	GET /overview/daily-volume-10d?user=0xf5d81a135f756ca16544e53c20fc20643ec3ad53	200	0.851151
coin-distribution-bad-user	GET /overview/coin-distribution?user=0x123	200	0.935222
